LotNumber,ParentLotNumber,UniqueIdentifier,HubCode,Title1,Title2,Title3,PostLotText,PreLotText,Description,Provenance,Literature,Exhibited,PropertyOf,ConditionReport,LocationAndCollection,TaxesAndOtherCharges,ShippingAndDelivery,PaymentInformation,LotClosingInformation,NoteToBuyer,LotEssay,LotNotes,AdditionalChargeDetails,EstimateLowerLimit,EstimateHigherLimit,ShippingBand,Images,MainImage,VideoImages,VideoLinks,MainVideo,RotateableImageUri,Auctiontype,IsFeatured,StartDate,EndDate,StartingBidAmount,Reserve,Height,Width,RelativeSizeImage,PackageHeight,PackageWidth,PackageDepth,PackageWeight,CountryOfOrigin,DateOfManufacture,HsCode,TaxType,VendorType,FPSHammer,FPSTotalSalePrice,Category,ArtistsResaleRightsSet,RelatedLots,ShippingCostBasedOnQuantity,Quantity,UnitType,ShippingConsolidation,ShippingSurcharge,AvailableStartDate,AvailableEndDate,Hidden,Position,OfferStartDate,DisplayDate,ConsignorType,LiveAuctionLot,DutyCode,VolumeCount,EucrdApplicable,Material / Technique,Type,Artist / Maker
68,,23805.68,PAR,PAIRE DE BOUCLES D'OREILLES SAPHIRS ET DIAMANTS,,,,,"Emerald-cut sapphires of 10.79 and 9.77 carats, baguette and round brilliant-cut diamonds, 18k white gold (customs marks), signed CM & Co<br><br>Gem Paris, 2025, report n°.20251978250-2: 2 sapphires on earrings, Sri-Lanka, non heated<br><br>Size/Dimensions: 3.3 x 2.7 cm<br>Gross weight: 27.2 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with posts and clip backs for pierced ears.<br>- Sapphires: with typical inclusions, minor chips at the junction of the table's facets.<br>- Diamonds: on average H to I color, VS1 to VS2 clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle. Four diamonds are missing.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,25000,35000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:07:00,24000,24000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,gold;sapphire,earrings,
69,,23805.69,PAR,BAGUE SAPHIR ET DIAMANTS,,,,,"Oval sapphire of 11.82 carats, rose-cut diamonds, 18k white and yellow gold (customs mark) <br><br>SSEF, 2024, report n°.142061: 11.70 x 10.20 x 10.40 mm, Ceylon (Sri-Lanka), no indications of heating <br>IGN, 2024, report n°.36459: 11.82 carats, no indication of thermal treatment<br><br>Diamonds: with an approximate total weight of 0.60-0.80 carat<br><br>Size/Dimensions: FR ring size: 55<sup>1</sup>⁄<sub>2</sub> / US ring size: 7<sup>1</sup>⁄<sub>2</sub><br>Gross weight: 4.8 grams<br><br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold.<br>- Sapphire: with typical inclusions, minor chips at the junction of the table's facets.<br>- Diamonds: with chips at the junction of the table's facets.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,6000,8000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:08:00,6000,6000,0,0,,,,,,Italy,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,sapphire;diamond,ring,
70,,23805.70,PAR,PATEK PHILIPPE MONTRE 'NAUTILUS' REFERENCE 4700/001,,,,,"Steel inox, dial and bracelet signed Patek Philippe Genève, quartz movement, Patek Philippe fitted case<br><br>Size/Dimensions: inner continuous circumference of the bracelet 16.0 cm, case diameter 27 mm <br>Gross weight: 54.5 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout steel. Fitted with a folding clasp. Accompanied with its Patek Philippe certificate of origin dated 05.05.87: movement 1 527 598, calibre E19 C Quartz.<br>- Glass: in good condition, very minor scratches at surface.<br>- Bracelet: signed Patek Philippe Genève, steel inox. <br>- Dial: signed Patek Philippe Genève, Swiss.<br>- Case: internal case back signed Patek Philippe Geneve and numbered 2796150 4700/1.<br>- Movement is working at time of cataloguing. The movement has not been tested for accuracy. A service is highly recommended. <br>- Please note that working order and time keeping cannot be guaranteed at time of purchase. Please refer to the Conditions of Sale further information regarding all clocks and watches.",,,,,,,,,,8000,12000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:09:00,8000,8000,0,0,,,,,,Switzerland,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,,wristwatch,Audemars Piguet
71,,23805.71,PAR,CARTIER COLLIER PERLES DE CULTURES ET DIAMANTS,,,,,"Comprising 11 rows.<br><br>Round cultured pearls, round brilliant and rectangular-cut diamonds, 18k yellow gold (French marks), signed Cartier, French maker’s mark, numbered, Cartier case<br><br>Diamonds: with an approximate total weight 8.50-9.00 carats <br><br>Size/Dimensions: length 40.0 cm, pendant 6.0 cm <br>Gross weight: 68.9 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with concealed clasp.<br>- Additional marks: 750. <br>- Cultured pearls: of cream bodycolor, partly with rosé and green overtones, nice luster and typical variations to nacre. With some typical blemishes and some lack of nacre and scratches at surface. Drilled.<br>- Diamonds: on average E to G color, VVS to VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.",,,,,,,,,,20000,30000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:10:00,20000,20000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,pearl;diamond;gold,necklace,Cartier
72,,23805.72,PAR,VAN CLEEF & ARPELS DEUX PAIRES DE BOUCLES D'OREILLES ET UN ÉLÉMENT DE PENDENTIF RUBIS ET DIAMANTS,,,,,"Comprising two pairs of earrings and a pendant element (which is not attached to any of the pieces in the lot)<br><br>Round rubies, round diamonds, platinum and 18k yellow gold (customs and French marks), ruby earrings signed Van Cleef & Arpels, diamond earrings signed V.C.A, pendant element signed VCA, diamond earrings with maker's mark (Georges Lenfant), numbered (pendant element is a special order)<br><br>Size/Dimensions: ruby earrings 2.5 cm, diamond earrings 2.2 cm, pendant element 6.0 cm<br>Gross weight: 62.7 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Gross weight of each element: 17.7 grams (ruby earrings), 19.7 grams (diamond earrings), 23.3 grams (pendant element).<br>- Additional marks: D G (ruby earrings).<br>- Rubies: with typical inclusions, minor chips at the junction of the table's facets.<br>- Diamonds: on average E to G colour, VVS to VS clarity. Colour has been gauged as far as the yellow mounting permits. With chips at the junction of the table's facets.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,10000,15000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:11:00,10000,10000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,ruby;diamond;gold,jewelry set,Van Cleef & Arpels
73,,23805.73,PAR,BOUCHERON BAGUE DIAMANTS,,,,,"Emerald-shaped diamond of 8.42 carats and baguette-cut diamonds, 18k yellow gold (French mark), signed Boucheron, maker's mark (Atelier Joaillerie Vendôme)<br><br>GIA, 2025, report n°.6237597624: 8.42 carats, H color, VVS2 clarity, no fluorescence<br><br>Remaining diamond: with an approximate total weight of 0.80-1.00 carat<br><br>Size/Dimensions: FR ring size: 53<sup>1</sup>⁄<sub>2</sub> / US ring size: 6<sup>1</sup>⁄<sub>2</sub><br>Gross weight: 8.0 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. <br>- Diamonds: with minor chips at the junction of the table's facets and at the girdle.",,,,,,,,,,100000,150000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:12:00,100000,100000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond;gold,ring,
74,,23805.74,PAR,CARTIER BROCHE TREMBLEUSE PIERRES DE COULEUR ET DIAMANTS,,,,,"The petals can open and close, and the pistil is mounted en tremblant<br><br>Round emeralds, rubies, sapphires and diamonds, 18k yellow gold (French mark), signed Cartier, French maker's mark, numbered<br><br>Size/Dimensions: 8.0 x 4.5 cm<br>Gross weight: 36.7 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with a double pinstem.<br>- Additional marks: partially erased and unidentifiable maker's mark.<br>- Emeralds: with typical inclusions, minor chips at the junction of the table's facets.<br>- Rubies: with typical inclusions, minor chips at the junction of the table's facets.<br>- Sapphires: with typical inclusions, minor chips at the junction of the table's facets.<br>- Diamonds: with minor chips at the junction of the table's facets.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,7000,10000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:13:00,7000,7000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond;sapphire;ruby,brooch,Cartier
75,,23805.75,PAR,VAN CLEEF & ARPELS PAIRE DE BOUCLES D'OREILLES DIAMANTS,,,,,"Round brilliant-cut diamonds, 18k yellow gold (French marks), signed V.C.A, maker’s mark (Gay Frères), numbered, Van Cleef & Arpels pouch<br><br>Diamonds: with an approximate total weight of 1.10-1.30 carat<br><br>Size/Dimensions: 4.5 x 4.5 cm<br>Gross weight: 22.3 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with clip backs for non-pierced ears.<br>- Additional marks: 750.<br>- Diamonds: on average E to F color, VVS1 to VVS2 clarity. Colour has been gauged as far as the mounting permits. With minor chips at the junction of the table's facets.",,,,,,,,,,7000,10000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:14:00,7000,7000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,gold;diamond,earrings,Van Cleef & Arpels
76,,23805.76,PAR,"BULGARI COLLIER SAPHIRS DE COULEUR, SAPHIRS ET DIAMANTS 'ALLEGRA'",,,,,"Double rose-cut coloured sapphires and sapphires, round brilliant-cut diamonds, 18k yellow gold (Italian marks), Italien maker's mark, signed Bulgari, Bulgari fitted case<br><br>Coloured sapphires and sapphires: with an approximate weight of 10.50-12.00 carats <br>Diamonds: with an approximate weight of 2.00-2.30<br>carats<br><br>Size/Dimensions: 43.5 cm (adjustable 37.5 cm, 39.0 cm or 40.5 cm), pendant 9.5 cm<br>Gross weight: 32.6 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with a lobster clasp. <br>- Additional marks: MADE IN ITALY, 750, Italian maker's mark (*2337AL).<br>- Coloured sapphires: with typical inclusions, minor chips at the junction of the table's facets.<br>- Sapphires: with typical inclusions, minor chips at the junction of the table's facets.<br>- Diamonds: birght and lively, with chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,15000,25000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:15:00,10000,10000,0,0,,,,,,Italy,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,sapphire;diamond;gold,necklace,Bulgari
77,,23805.77,PAR,"RENÉ BOIVIN BROCHE TREMBLEUSE SAPHIRS, SAPHIRS DE COULEUR ET DIAMANTS 'PAPILLON'",,,,,"Sapphire oval cabochons, oval and round coloured sapphires, round and round brilliant-cut diamonds, 18k yellow gold (French marks), maker’s mark (Cristofol), 1984, René Boivin case<br><br>Maison René Boivin, 2025: original piece manufactured by René Boivin in December 1984 after a drawing of Marie-Caroline De Brosses<br><br>Coloured sapphires: with an approximate total weight of 52.00-57.00 carats<br>Diamonds: with an approximate total weight of 4.10-4.50 carats<br><br>Size/Dimensions: 10 x 8.3 cm<br>Gross weight: 96.3 grams<br>Maison René Boivin, 2025: original piece manufactured by René Boivin in December 1984 after a drawing of Marie-Caroline De Brosses<br>",,"Cf. F. Cailles, <i>René Boivin, Joaillier, </i>Les Éditions de l'Amateur, Paris, 1994, p. 165 for a similar piece.",,,"-Overall condition: good. Shows normal signs of wear with minor abrasions throughout gold. Fitted with a double pinstem clipback. The brooch is mounted en tremblant, and each of the four wings moves.<br>- Coloured sapphires: : with typical inclusions, minor chips at the junction of the table's facets.<br>- Sapphires: with typical inclusions, minor chips at surface.<br>- Diamonds: with minor chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,50000,70000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:16:00,50000,50000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,sapphire;diamond;gold,brooch,"Boivin, Rene"
78,,23805.78,PAR,"RENÉ BOIVIN POUDRIER CITRINES, SAPHIRS DE COULEUR ET DIAMANTS DE COULEUR",,,,,"Oval, rectangular, emerald and square-cut citrines and coloured diamonds, round and triangular coloured diamonds, 18k yellow gold (French marks), signed René Boivin, maker’s marks (René Boivin) and maker’s mark (Jean Trotain), circa 1980<br><br>Maison René Boivin, 2025: original piece manufactured by René Boivin circa 1980 after a drawing of Suzanne Belperron<br><br>Size/Dimensions: 9.0 x 6.0 cm<br>Gross weight: 160.2 grams<br><br><b>Please note that coloured diamonds have not been tested for natural colour.</b><br>Maison René Boivin, 2025: original piece manufactured by René Boivin circa 1980 after a drawing of Suzanne Belperron<br>",,"Cf. F. Cailles, <i>René Boivin, Joaillier, </i>Les Éditions de l'Amateur, Paris, 1994, p. 344.",,,"-Overall condition: good. Shows normal signs of wear with minor abrasions throughout gold. Fitted with a push button, opening on a single compartment and a mirror.<br>- Mirror: in good condition, minor scratches at surface, not near the center.<br>- Citrines: with typical inclusions, with minor cracks at the tables facets.<br>- Coloured sapphires: with typical inclusions, with minor cracks at the tables facets.<br>- Coloured diamonds: with minor cracks at the tables facets.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,30000,50000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:17:00,30000,30000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,colored diamond;citrine;gold,vanity case,"Boivin, Rene"
79,,23805.79,PAR,VAN CLEEF & ARPELS BRACELET OR,,,,,"18k yellow gold (French marks), Van Cleef & Arpels, numbered, Van Cleef & Arpels case<br><br>Size/Dimensions: 21.0 cm<br>Gross weight: 108.1 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. <br>- Additional marks: ©, 750.",,,,,,,,,,6000,8000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:18:00,6000,6000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,gold,bracelet,Van Cleef & Arpels
80,,23805.80,PAR,BULGARI BROCHE DIAMANTS,,,,,"Round brilliant-cut diamonds, 18k white and yellow gold (customs mark), signed Bulgari<br><br>Size/Dimensions: 7.7 x 2.3 cm<br>Gross weight: 24.5 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout platinum. Fitted with a double pinstem clipback.<br>- Diamonds: on average G to H color, VVS1 to VS1 clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.",,,,,,,,,,5000,7000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:19:00,5000,5000,0,0,,,,,,Italy,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,gold,brooch,Bulgari
81,,23805.81,PAR,COLLIER SAPHIRS EN INTAILLE ET DIAMANTS,,,,,"Round intaglio sapphires, round brilliant-cut diamonds, 18k yellow gold (customs mark), Italian maker’s mark <br><br>Gem Paris, 2025, report n°20251978250-1: Sri-Lanka, non-heated<br><br>Size/Dimensions: 39.5 cm, pendant 5.0 cm<br>Gross weight: 69.3 grams<br>",,"Engraved intaglios depicting a Roman figure in profile facing right, wearing a laurel wreath — a symbol of triumph and dignity in ancient Rome — and an owl, emblem of wisdom often associated with the goddess Minerva (Athena in the Greek pantheon).",,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold, oxidation stains. Fitted with a concealed and secured clasp.<br>- Additional marks: 750, Italian maker’s mark (*1973AL).<br>- Sapphires: with typical inclusions, minor chips at the junction of the table's facets.<br>- Diamonds: on average G to H color, VVS to VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,7000,10000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:20:00,7000,7000,0,0,,,,,,Italy,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,sapphire;diamond;gold,necklace,
82,,23805.82,PAR,BAGUE SAPHIR ET DIAMANTS,,,,,"Octagonal step-cut sapphire of 13.47 carats, tapered-baguette diamonds, platinum and 18k yellow gold (customs mark), maker’s mark (Atelier de Joaillerie Vendôme) <br><br>SSEF, 2025, report n°.145972: approximately 13.40 x 11.90 x 8.45 mm, Ceylon (Sri-Lanka), no indications of heating<br><br>Size/Dimensions: FR ring size: 51 / US ring size: 5<sup>1</sup>⁄<sub>2</sub><br>Gross weight: 6.8 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold and platinum. Fitted with a U-shaped ring.<br>- Additional marks: PT950.<br>- Sapphire: with typical inclusions, severe cracks and chips at the junction of the table's facets and at the girdle.<br>- Diamonds: with chips at the junction of the table's facets.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,70000,100000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:21:00,70000,70000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,sapphire;diamond;gold,ring,
83,,23805.83,PAR,NO RESERVE - MÉDAILLON SAPHIR ET DIAMANTS ART NOUVEAU 'L'AMOUR CONSOLE L'HUMANITÉ',,,<i><b>• This lot is offered without reserve.</b></i><i><br></i><b>• Lot proposé sans prix de réserve.</b>,,"Oval sapphire, old-cut diamonds, 18k yellow gold (French mark), signed O.Roty for the reproduced engraving, circa 1900<br><br>Gem Paris, 2025, report n°.20251978269-2: Sri-Lanka, non heated<br><br>Sapphire: with an approximate weight of 1.10-1.40 carat<br><br>Size/Dimensions: 52.5 cm, pendant 7.0 x 4.5 cm<br>Gross weight: 36.2 grams<br>",,"In this allegorical work, filled with tenderness and spirituality, Oscar Roty — the renowned French medallist and engraver — delicately illustrates the redemptive power of love. Represented as a winged child, Love is shown comforting Humanity, symbolized by a sorrowful, veiled female figure. The composition, characteristic of fin-de-siècle symbolism, blends classical grace with romantic emotion.<br><br>This poetic scene, finely engraved, reflects Roty’s humanist and idealistic concerns. It conveys a universal message of hope: in the face of the world’s suffering, love remains a healing force, capable of softening sorrow and restoring faith in humanity. Through this motif, Roty not only demonstrates his mastery of bas-relief but also offers a profoundly emotional meditation on human resilience.","Similar double-sided silver medal <i>L'Amour console l'Humanité, </i>signed O. Roty,1899, exhibited at the Musée d'Orsay in Paris (France).",,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. <br>- Additional marks: XCXIX.<br>- Sapphire: with typical inclusions, minor chips at the junction of the table's facets.<br>- Diamonds: with minor chips at the junction of the table's facets.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,5000,8000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:22:00,100,100,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,sapphire;diamond;gold,necklace,
